id,category,name,price
0,Computers,Tasty Soft Salad,797.66
1,Computers,Licensed Fresh Shoes,2164.39
2,Tools,Cotton Shoes,2244.94
3,Automotive,Chips,995.33
4,Baby,New Chicken,1738.14
5,Health,Ergonomic Chicken,1334.56
6,Shoes,Licensed Granite Shoes,1372.43
7,Jewelery,Handcrafted Concrete Chips,2446.64
8,Computers,Fantastic Cheese,410.56
9,Games,Unbranded Chair,1041.93
10,Sports,Bike,1779.31
11,Outdoors,Granite Bacon,3.36
12,Sports,Gently Used Cotton Towels,163.46
13,Clothing,Unbranded Shoes,100.34
14,Games,Computer,400.67
15,Tools,Handmade Pants,1562.86
16,Outdoors,Frozen Mouse,1816.6
17,Baby,Practical Steel Towels,245.17
18,Electronics,Unbranded Pants,1522.25
19,Books,Generic Tuna,1163.3
20,Toys,Gorgeous Soft Soap,2387.44
21,Movies,Rustic Salad,1494.63
22,Jewelery,Incredible Gloves,1255.46
23,Games,Ball,367.32
24,Outdoors,Rustic Plastic Pizza,1172.28
25,Shoes,Soft Tuna,1213.37
26,Music,Refined Frozen Chicken,1386.64
27,Kids,Awesome Plastic Bike,1151.78
28,Computers,Fish,2179.71
29,Games,Gently Used Soft Ball,1213.53
30,Shoes,Gently Used Car,1092.17
31,Home,Sleek Metal Cheese,850.17
32,Toys,Fantastic Granite Salad,2023.1
33,Outdoors,New Chicken,1448.67
34,Grocery,Handmade Concrete Salad,1961.6
35,Kids,Fantastic Soft Pizza,1093.74
36,Baby,Fresh Gloves,1963.07
37,Beauty,Granite Chicken,1256.2
38,Shoes,Tuna,2018.83
39,Health,Chips,145.7
40,Beauty,Intelligent Steel Towels,361.9
41,Automotive,New Metal Keyboard,101.96
42,Jewelery,Generic Chicken,359.43
43,Computers,New Fresh Keyboard,652.31
44,Games,Small Pants,611.29
45,Jewelery,Pizza,472.77
46,Movies,Handmade Chicken,1192.16
47,Jewelery,Cotton Towels,1870.65
48,Computers,Plastic Computer,1577.77
49,Toys,Frozen Salad,1889.95
50,Games,Gently Used Computer,1822.55
51,Computers,Shirt,158.37
52,Baby,Incredible Frozen Cheese,2499.95
53,Kids,Gently Used Rubber Gloves,392.93
54,Home,Shoes,1513.82
55,Outdoors,Concrete Computer,2218.35
56,Beauty,Chicken,412.63
57,Tools,Used Shoes,2285.02
58,Jewelery,Intelligent Towels,1490.65
59,Books,Small Soft Salad,1855.32
60,Outdoors,Steel Salad,77.73
61,Kids,Used Computer,244.19
62,Beauty,Generic Chicken,2144.27
63,Kids,Incredible Wooden Chair,68.73
64,Industrial,Rubber Car,755.28
65,Baby,Table,1645.21
66,Baby,For repair Frozen Bacon,101.44
67,Beauty,Salad,433.52
68,Baby,Gorgeous Soap,1659.71
69,Clothing,Small Soft Cheese,2410.64
70,Beauty,Cheese,1353.25
71,Music,Soap,2273.81
72,Garden,Rubber Towels,489.94
73,Toys,Small Computer,488.27
74,Clothing,Table,887.18
75,Clothing,Handmade Granite Keyboard,57.46
76,Outdoors,Handmade Fish,2418.09
77,Sports,Handcrafted Keyboard,612.56
78,Games,Refined Metal Pants,576.65
79,Clothing,Refined Computer,264.81
80,Industrial,Car,1477.58
81,Movies,Generic Salad,2184.3
82,Clothing,Mouse,317.26
83,Clothing,Refined Pizza,481.62
84,Computers,Plastic Salad,2235.75
85,Movies,Steel Sausages,2257.45
86,Baby,Steel Keyboard,1246.42
87,Clothing,Ergonomic Metal Bike,620.17
88,Home,Licensed Soap,1972.88
89,Industrial,Refined Pizza,1290.45
