id,name,slogan,purpose
0,Evans-Hendrix Ltd,Stand-alone reciprocal ability,innovate front-end e-services
1,"Bowman, Gardner and Fisher PLC",Monitored multimedia structure,implement seamless experiences
2,Morris-Grimes Ltd,Configurable user-facing throughput,deliver efficient eyeballs
3,Roberts-Wade Inc,Proactive coherent pricing structure,integrate clicks-and-mortar portals
4,"Lowery, Combs and Sutton Group",Exclusive next generation analyzer,transition seamless infrastructures
5,Ingram-Phillips Ltd,Up-sized methodical benchmark,seize B2C applications
6,"Williams, Elliott and Lawson and Sons",Sharable optimal website,implement B2B action-items
7,Daniels-Winters Inc,Stand-alone intangible matrix,matrix sticky portals
8,Peck Inc PLC,Optional 3rdgeneration success,incentivize interactive e-commerce
9,Abbott-Jenkins LLC,Grass-roots client-driven synergy,maximize cross-media e-business
10,Wilson-Hopkins PLC,Polarized bi-directional system engine,engineer visionary schemas
11,Johnson-Campbell Group,Right-sized empowering portal,exploit vertical solutions
12,Stokes-Carr Ltd,Pre-emptive secondary project,iterate value-added models
13,"Harris, Wilson and Hernandez PLC",Fundamental high-level pricing structure,deliver plug-and-play synergies
14,Vazquez Ltd and Sons,Reactive human-resource time-frame,integrate killer architectures
15,Fields Group Inc,Managed asymmetric budgetary management,empower wireless experiences
16,Charles-Marsh Group,Customer-focused tangible knowledge user,architect seamless e-markets
17,Morris-Watkins and Sons,Seamless tertiary Local Area Network,empower cross-platform experiences
18,Thomas-Bond PLC,Devolved 4thgeneration help-desk,architect enterprise technologies
19,Williams-Gonzalez Group,Synchronized regional process improvement,iterate real-time interfaces
20,Hamilton-Griffin PLC,Devolved clear-thinking core,orchestrate intuitive networks
21,"Miller, Hill and Shaw PLC",Re-engineered asynchronous circuit,morph strategic mindshare
22,Wilkerson-Cook and Sons,Enhanced non-volatile strategy,orchestrate extensible channels
23,Jones-Phillips Ltd,User-friendly tangible synergy,exploit compelling platforms
24,"Little, Mitchell and Kim PLC",Customer-focused intangible firmware,synergize cross-platform deliverables
25,Ferguson-Holt and Sons,Distributed fault-tolerant database,grow visionary e-tailers
26,Collins-Martinez and Sons,Self-enabling discrete success,envisioneer intuitive experiences
27,Welch-Smith Group,Robust bandwidth-monitored alliance,repurpose best-of-breed action-items
28,"Rogers, Edwards and Blair Ltd",Re-contextualized didactic toolset,monetize innovative deliverables
29,"Harris, Cervantes and Miller LLC",Compatible coherent data-warehouse,streamline visionary partnerships
30,"Johnson, Morris and Eaton PLC",Optimized composite info-mediaries,incentivize wireless niches
31,"Ortiz, Wang and Miller Ltd",Upgradable hybrid functionalities,generate proactive e-markets
32,Perry Group LLC,Enhanced user-facing application,unleash e-business users
33,Hart-Blake and Sons,Function-based eco-centric attitude,mesh bricks-and-clicks platforms
34,Welch-Mclean LLC,Intuitive tertiary paradigm,incubate granular partnerships
35,Anderson LLC Ltd,Persistent cohesive benchmark,transform vertical technologies
36,Chang-Guerra LLC,Advanced dynamic implementation,monetize holistic systems
37,Gonzalez-Cooper and Sons,Persevering cohesive data-warehouse,seize world-class eyeballs
38,Campbell Inc and Sons,Pre-emptive context-sensitive knowledgebase,extend seamless info-mediaries
39,Garcia-Pugh and Sons,Innovative optimal system engine,matrix cutting-edge metrics
40,Lopez PLC and Sons,Operative context-sensitive concept,iterate dynamic metrics
41,"Bean, Brown and Kelly LLC",Robust contextually-based circuit,evolve cross-platform web-readiness
42,Thompson-Weiss LLC,Multi-layered global encoding,transform transparent experiences
43,"Fischer, Martinez and Walters PLC",De-engineered responsive framework,generate e-business e-markets
44,"Malone, Ferguson and Martinez Ltd",Business-focused optimizing framework,optimize ubiquitous schemas
45,Roberts-Wyatt Inc,Business-focused maximized definition,transition integrated solutions
46,Peterson-Hebert LLC,User-centric non-volatile paradigm,integrate compelling portals
47,"Dixon, Huynh and Holmes Inc",Robust systemic protocol,syndicate back-end synergies
48,Soto-Gardner Inc,Multi-tiered motivating help-desk,monetize 24/365 models
49,"Garza, Parsons and Williams and Sons",Reduced mission-critical hierarchy,facilitate one-to-one infrastructures
50,Price Inc Inc,Synergistic motivating algorithm,redefine killer e-commerce
51,Moore-Brown PLC,Right-sized empowering productivity,envisioneer open-source experiences
52,Khan-Bishop Group,Down-sized zero-defect infrastructure,strategize rich communities
53,"Roach, Wise and Hayes LLC",Synergized grid-enabled Graphic Interface,maximize cross-platform communities
54,Bailey-Cordova Ltd,Centralized demand-driven open system,enhance integrated content
55,Singleton-Davis and Sons,Monitored analyzing circuit,expedite next-generation info-mediaries
56,Thomas-Schultz Ltd,Versatile homogeneous capability,syndicate interactive web services
57,Martin-Morrow Ltd,Cross-platform client-server Local Area Network,deliver global experiences
58,White Ltd LLC,Cross-platform exuding budgetary management,evolve interactive interfaces
59,"Thomas, Lynch and Cross Group",Monitored mobile initiative,transform 24/7 interfaces
60,Sanford-Miller Ltd,Vision-oriented discrete framework,enhance extensible networks
61,Sanders PLC and Sons,Future-proofed incremental capacity,extend enterprise technologies
62,"Mcmahon, Foley and Franco Inc",Organic optimal array,enable ubiquitous systems
63,Nichols and Sons Inc,Multi-tiered homogeneous artificial intelligence,unleash real-time web services
64,Jacobs Group LLC,Grass-roots dynamic software,leverage frictionless deliverables
65,Aguilar-Fox LLC,Extended global array,optimize front-end content
66,Dougherty-Nicholson Inc,Assimilated modular contingency,iterate vertical vortals
67,Rivera-Petty and Sons,Realigned grid-enabled framework,strategize scalable niches
68,Hernandez-Mccall and Sons,Down-sized full-range Graphical User Interface,leverage back-end systems
69,Gilbert-Martin Ltd,Open-architected high-level leverage,revolutionize virtual e-services
70,Howard Group and Sons,Total exuding neural-net,repurpose open-source deliverables
71,"Guerrero, Rosales and Walters Ltd",Compatible demand-driven conglomeration,iterate one-to-one experiences
72,"Brown, Huffman and Hernandez LLC",Robust leadingedge collaboration,grow best-of-breed partnerships
73,"Galloway, Walker and Petty and Sons",Centralized eco-centric protocol,monetize enterprise systems
74,Ross LLC LLC,Proactive bifurcated time-frame,morph impactful supply-chains
75,Harris-Wilkinson Ltd,User-centric fault-tolerant website,productize clicks-and-mortar models
76,"Barker, Heath and Thomas Ltd",User-friendly analyzing matrix,drive customized relationships
77,Carter Inc LLC,Universal uniform conglomeration,transform front-end e-commerce
78,"Gutierrez, Wolfe and Yates Group",User-friendly web-enabled conglomeration,matrix frictionless metrics
79,"Smith, Soto and Jackson Inc",De-engineered maximized hierarchy,extend front-end markets
80,"Mack, Williams and Alexander and Sons",Multi-layered intermediate installation,embrace customized e-business
81,"Lamb, Stephenson and Lopez Group",Function-based bottom-line collaboration,mesh customized niches
82,"Adams, Brandt and Walker Ltd",Upgradable secondary methodology,strategize next-generation synergies
83,"Parker, Sanchez and Lee LLC",Team-oriented coherent hub,implement impactful e-commerce
84,Stephens and Sons LLC,Progressive client-server secured line,re-intermediate visionary portals
85,"Peterson, Glass and Pittman Ltd",Upgradable context-sensitive pricing structure,maximize B2C e-business
86,Williams LLC PLC,Optional 6thgeneration Graphic Interface,whiteboard global technologies
87,"Smith, Howard and Jenkins Group",Implemented optimal groupware,engage e-business interfaces
88,"Donovan, Torres and Lowe and Sons",Compatible maximized intranet,transition cutting-edge e-business
89,Lee-Jackson PLC,Cloned well-modulated Internet solution,engineer intuitive synergies
90,"Haynes, Bishop and Allen Group",Multi-lateral clear-thinking access,revolutionize 24/7 systems
91,"Davidson, Smith and Morrison Group",Virtual demand-driven customer loyalty,redefine cross-media partnerships
92,Cook-Soto Inc,Robust disintermediate capacity,synergize global applications
93,Armstrong PLC and Sons,Decentralized fresh-thinking task-force,empower integrated communities
94,Terrell Group LLC,Diverse fault-tolerant time-frame,integrate cross-platform content
95,Rivas LLC Group,Synergistic 24hour project,repurpose end-to-end models
96,"House, Duarte and Roman Inc",Persistent intangible task-force,repurpose bricks-and-clicks bandwidth
97,Bell-Rocha and Sons,Upgradable mission-critical benchmark,grow impactful infrastructures
98,Strickland Group Ltd,Up-sized composite installation,generate web-enabled schemas
